imdb_id,original_title,tags
tt8291224,Uri: The Surgical Strike,action drama war divided over five chapters the film chronicles the events of the surgical strike conducted by the indian military against suspected militants in pakistan occupied kashmir. it tells the story of the 11 tumultuous events over which the operation was carried out. indian army special forces carry out a covert operation to avenge the killing of fellow army men at their base by a terrorist group. vickykaushal pareshrawal mohitraina yamigautam kirtikulhari rajitkapoor ivanrodrigues manasiparekh swaroopsampat rivaarora yogeshsoman fareedahmed akashdeeparora kallolbanerjee 
tt9472208,Battalion 609,war the story revolves around a cricket match between the indian army and the pakistan army gone wrong and narrates the tale of the soldiers of battalion 609 putting up a fight with taliban. after an attack on indian army that is battalion 609 near the loc the match which was to be played between india and pakistan is cancelled. anwar hussein a pakistani soldier who is very fond of cricket and was looking forward to the match throws a cricket bat at the other end of the loc and calls the indian army and indians a bunch of cowards. in anger the indian army throws a ball towards them. soon a verbal fight breaks between them which leads to the two teams deciding to play a cricket match. the losing team will take their post eighteen kilometres back. vickyahuja shoaibibrahim shrikantkamat elenakazan vishwaskini majorkishore jashnkohli rammyc.pandey manishsharma sparshsharma farnazshetty vikasshrivastav chandraprakashthakur brajeshtiwari 
tt6986710,The Accidental Prime Minister,biography drama based on the memoir by indian policy analyst sanjaya baru the accidental prime minister explores manmohan singh's tenure as the prime minister of india and the interference of congress party in contradicting his decisions during his first tenure. he details how singh fell a victim to congress party's dynastic approach. it highlights how manmohan singh was constantly ignored by congress to maintain turf for rahul gandhi the son of sonia gandhi and rajiv gandhi. anupamkher akshayekhanna aahanakumra atulsharma manojanand arjunmathur suzannebernert abdulquadiramin bharatmistri divyaseth anilrastogi rameshbhatkar parrgashkaur jesskaur 
tt8108208,Why Cheat India,crime drama the movie focuses on existing malpractices in country's education system the whole concept of buying your way through education jobs and earnings. even with an evolving education system the country faces scams like ssc and hsc paper leaks cbse re-examination vyaapam etc. the movie tries to shift the attention of people to understand the vulnerability of hardworking and gifted students who get left out. emraanhashmi shreyadhanwanthary snighdadeepchatterji navneetsrivastava nandayadav 
tt6028796,Evening Shadows,drama while gay rights and marriage equality has been embraced by most countries a small town in southern india lives within a cocoon of traditions and social morality. in such a milieu when a young gay man kartik comes out to his mother vasudha her entire world comes crashing down. she has no one to turn to dispel her fears and doubts to understand her loving son's truth. moreover as a woman trapped within a patriarchal conservative society her biggest challenge is to deal with her dogmatic husband damodar and the conservative society around her. 'evening shadows' is a universal story about a mother-son bonding and its emotional strength to withstand the ravages of time and harsh realities. monaambegaonkar ananthnarayanmahadevan devanshdoshi arpitchaudhary yaminisingh abhaykulkarni veenanair dishathakur kalaramanathan sushantdivgikar 
tt6078866,Soni,drama soni a young policewoman in delhi and her superintendent kalpana have collectively taken on a growing crisis of violent crimes against women. however their alliance suffers a major setback when soni is transferred out for alleged misconduct on duty. geetikavidyaohlyan salonibatra vikasshukla mohitchauhan himanshukohli gaurichakraborty mohindergujral upasyagoswami simratkaur dimplekaur prateekpachori kalpanajha samar 
tt5013008,Fraud Saiyyan,comedy drama fraud saiyyan is the story of a con artist in north india who convinces women to marry him just so he can live off their money. arshadwarsi saurabhshukla florasaini saraloren varunbadola deepalipansare niveditatiwari peeyushsuhaney preetisood paragtyagi anangshabiswas amandarosario elliavrram 
tt4971258,Bombairiya,comedy crime drama it follows the story of meghna who gets embroiled in a series of events after her phone gets stolen. radhikaapte akshayoberoi siddhanthkapoor ravikishan adilhussain shilpashukla ajinkyadeo amitsial 
tt6903440,Manikarnika: The Queen of Jhansi,action biography drama manikarnika born in varanasi when dixt a minister in jhansi princely state sees her he proposes her marriage to gangadar rao prince of jhansi.sadashiv rao plots along with british officers to conquer jhansi as he is promised a stake in it after conquering jhansi.after the birth of lakshmi and gangadar rao's son sadashiv rao sees his place in fear and poison the holy water during the naming ceremony of the child following which he passes away and also leaves gangadar rao on death bed.gangadar rao decides to adopt a son and sadashiv rao feels guilty of not adopting his son instead a toddler who comes running to lakshmi bai.after death of gangadar rao.the east india company decides to conquer on jhansi as there is no male ruler.but lakshmi bai decides to take the throne on herself and fight for jhansi. kanganaranaut rimisen atulkulkarni nalneeshneel dannydenzongpa mishti kulbhushankharbanda mohammedzeeshanayyub anilgeorge vikramkochhar edwardsonnenblick ankitalokhande richardkeep jishusengupta 
tt7777196,Thackeray,biography drama balasaheb thackrey works as a cartoonist for a newspaper. but his editor isn't happy with it as he creates cartoons of politician which affects the sales of his paper.he is asked to try something else but he quits his job and now his only aim is to fight for the rights of marathi people. he sees that marathi people don't have any respect and are made to do all odd works. with a few people he starts to help the needy and gains respect. to fight for the rights he also goes against the law and comes in the eye of politics. after entering politics he starts his own party named after shivaji maharaj as shiv sena. after giving marathi manoos his equal rights his only wish is that one day the chief minister of maharashtra should be a marathi manoos. nawazuddinsiddiqui amritarao abdulquadiramin sanjaynarvekar prakashbelawadi vineetsharma radhasagar sonamonijayantgadekar satishalekar mickymakhija nikhilmahajan reshlamba jaywantwadkar laxmansinghrajput 
tt8396186,Amavas,horror thriller far away from the bustle of the city a young couple is looking forward to their stay in a once-abandoned palatial mansion. but their lives are about to turn into a nightmare as dark forces lie in wait beneath the shadows of the haunted bungalow. aliasgar vivanbhatena nargisfakhri sachiinjoshi shabnamkarimzada kevinmatadeen 
tt2395469,Gully Boy,"drama music gully boy is a film about a 22-year-old boy ""murad"" from a ghetto in mumbai india. the son of a driver his parents worked hard to get him educated so that he could have a white collar job. meanwhile murad realizes his calling to be a rapper. authentic hip hop in india is a recent phenomenon and like anywhere else in the world is rising from the streets. art is a distant dream for the colonized poor of india and this story is about murad's journey from realizing his love for rap and chasing his dream to inadvertently transcending his class. the film showcases street rap from the crevices of mumbai's by lanes. the poetry is conscious of the city's socio-economic fabric and highlights the challenges faced by the disenfranchised youth in the minority population. ranveersingh aliabhatt siddhantchaturvedi vijayraaz amrutasubhash vijayvarma kalkikoechlin ikhlaquekhan sheebachaddha jyotisubhash rahulpiske nakulsachdeva shrutichauhan aishwaryadesai "
tt9319812,Hum chaar,drama the story of the film revolves around four college friends went their own direction in life but remained inseparable from each other. pritkamani simransharma anshumanmalhotra tusharpandey vibhaanand jatingoswami jagatrawat sonaljha shaileshdatar jayshankartripathi alokpandey sushantmohindru shahnawazpradhan amitkumarjha 
tt7639372,Total Dhamaal,action adventure comedy total dhamaal is the third instalment in the dhamaal franchise. a hidden booty of 50 crore leads to a mad chase amongst a bunch of greedy and eccentric characters. in them are a bickering couple on the verge of a divorce greedy siblings local goons a police commissioner and the mastermind of the loot. will they finally discover the hidden treasure? ajaydevgn madhuridixit anilkapoor riteishdeshmukh arshadwarsi javedjaffrey eshagupta bomanirani sanjaymishra vijaypatkar pitobash maheshmanjrekar ali 
