imdb_id,original_title,year_of_release,genres,imdb_rating,imdb_votes,story,actors
tt8291224,Uri: The Surgical Strike,2019,"['Action', 'Drama', 'War']",8.4,35112.0,Divided over five chapters  the film chronicles the events of the surgical strike conducted by the Indian military against suspected militants in Pakistan occupied Kashmir. It tells the story of the 11 tumultuous events over which the operation was carried out. Indian army special forces carry out a covert operation to avenge the killing of fellow army men at their base by a terrorist group.,"['VickyKaushal', 'PareshRawal', 'MohitRaina', 'YamiGautam', 'KirtiKulhari', 'RajitKapoor', 'IvanRodrigues', 'ManasiParekh', 'SwaroopSampat', 'RivaArora', 'YogeshSoman', 'FareedAhmed', 'AkashdeepArora', 'KallolBanerjee', '']"
tt9472208,Battalion 609,2019,['War'],4.1,73.0,The story revolves around a cricket match between the Indian Army and the Pakistan Army gone wrong and narrates the tale of the soldiers of Battalion 609 putting up a fight with Taliban. After an attack on Indian Army that is Battalion 609 near the LOC  the match which was to be played between India and Pakistan is cancelled. Anwar Hussein  a Pakistani soldier who is very fond of cricket and was looking forward to the match  throws a cricket bat at the other end of the LOC and calls the Indian army and Indians a bunch of cowards. In anger  the Indian army throws a ball towards them. Soon  a verbal fight breaks between them which leads to the two teams deciding to play a cricket match. The losing team will take their post eighteen kilometres back.,"['VickyAhuja', 'ShoaibIbrahim', 'ShrikantKamat', 'ElenaKazan', 'VishwasKini', 'MajorKishore', 'JashnKohli', 'RammyC.Pandey', 'ManishSharma', 'SparshSharma', 'FarnazShetty', 'VikasShrivastav', 'ChandraprakashThakur', 'BrajeshTiwari', '']"
tt6986710,The Accidental Prime Minister,2019,"['Biography', 'Drama']",6.1,5549.0,Based on the memoir by Indian policy analyst Sanjaya Baru  The Accidental Prime Minister explores Manmohan Singh's tenure as the Prime Minister of India  and the interference of Congress Party in contradicting his decisions during his first tenure. He details how Singh fell a victim to Congress Party's dynastic approach. It highlights how Manmohan Singh was constantly ignored by Congress to maintain turf for Rahul Gandhi  the son of Sonia Gandhi and Rajiv Gandhi.,"['AnupamKher', 'AkshayeKhanna', 'AahanaKumra', 'AtulSharma', 'ManojAnand', 'ArjunMathur', 'SuzanneBernert', 'AbdulQuadirAmin', 'BharatMistri', 'DivyaSeth', 'AnilRastogi', 'RameshBhatkar', 'ParrgashKaur', 'JessKaur', '']"
tt8108208,Why Cheat India,2019,"['Crime', 'Drama']",6.0,1891.0,The movie focuses on existing malpractices in country's education system  the whole concept of buying your way through education  jobs and earnings. Even with an evolving education system  the country faces scams like SSC and HSC paper leaks  CBSE re-examination  Vyaapam  etc. The movie tries to shift the attention of people to understand the vulnerability of hardworking and gifted students who get left out.,"['EmraanHashmi', 'ShreyaDhanwanthary', 'SnighdadeepChatterji', 'NavneetSrivastava', 'NandaYadav', '']"
tt6028796,Evening Shadows,2018,['Drama'],7.3,280.0,While gay rights and marriage equality has been embraced by most countries  a small town in Southern India lives within a cocoon of traditions and social morality. In such a milieu when a young gay man Kartik  comes out to his mother Vasudha  her entire world comes crashing down. She has no one to turn to dispel her fears and doubts  to understand her loving son's truth. Moreover as a woman  trapped within a patriarchal conservative society  her biggest challenge is to deal with her dogmatic husband Damodar  and the conservative society around her. 'Evening Shadows' is a universal story about a mother-son bonding and its emotional strength to withstand the ravages of time and harsh realities.,"['MonaAmbegaonkar', 'AnanthNarayanMahadevan', 'DevanshDoshi', 'ArpitChaudhary', 'YaminiSingh', 'AbhayKulkarni', 'VeenaNair', 'DishaThakur', 'KalaRamanathan', 'SushantDivgikar', '']"
tt6078866,Soni,2018,['Drama'],7.2,1595.0,Soni  a young policewoman in Delhi  and her superintendent  Kalpana  have collectively taken on a growing crisis of violent crimes against women. However  their alliance suffers a major setback when Soni is transferred out for alleged misconduct on duty.,"['GeetikaVidyaOhlyan', 'SaloniBatra', 'VikasShukla', 'MohitChauhan', 'HimanshuKohli', 'GauriChakraborty', 'MohinderGujral', 'UpasyaGoswami', 'SimratKaur', 'DimpleKaur', 'PrateekPachori', 'KalpanaJha', 'Samar', '']"
tt5013008,Fraud Saiyyan,2019,"['Comedy', 'Drama']",4.2,504.0,Fraud Saiyyan is the story of a con artist in North India who convinces women to marry him just so he can live off their money.,"['ArshadWarsi', 'SaurabhShukla', 'FloraSaini', 'SaraLoren', 'VarunBadola', 'DeepaliPansare', 'NiveditaTiwari', 'PeeyushSuhaney', 'PreetiSood', 'ParagTyagi', 'AnangshaBiswas', 'AmandaRosario', 'ElliAvrram', '']"
tt4971258,Bombairiya,2019,"['Comedy', 'Crime', 'Drama']",4.3,295.0,It follows the story of Meghna  who gets embroiled in a series of events after her phone gets stolen.,"['RadhikaApte', 'AkshayOberoi', 'SiddhanthKapoor', 'RaviKishan', 'AdilHussain', 'ShilpaShukla', 'AjinkyaDeo', 'AmitSial', '']"
tt6903440,Manikarnika: The Queen of Jhansi,2019,"['Action', 'Biography', 'Drama']",6.5,7361.0,Manikarnika born in Varanasi when Dixt a minister in Jhansi princely state sees her he proposes her marriage to Gangadar Rao prince of Jhansi.Sadashiv Rao plots along with British officers to conquer Jhansi as he Is promised a stake in it after conquering Jhansi.After the birth of Lakshmi and Gangadar Rao's son Sadashiv Rao sees his place in fear and poison the holy water during the naming ceremony of the child following which he passes away and also leaves Gangadar Rao on death bed.Gangadar Rao decides to adopt a son and Sadashiv Rao feels guilty of not adopting his son instead a toddler who comes running to Lakshmi Bai.After death of Gangadar Rao.The East India Company decides to conquer on Jhansi as there is no male ruler.But Lakshmi Bai decides to take the throne on herself and fight for Jhansi.,"['KanganaRanaut', 'RimiSen', 'AtulKulkarni', 'NalneeshNeel', 'DannyDenzongpa', 'Mishti', 'KulbhushanKharbanda', 'MohammedZeeshanAyyub', 'AnilGeorge', 'VikramKochhar', 'EdwardSonnenblick', 'AnkitaLokhande', 'RichardKeep', 'JishuSengupta', '']"
tt7777196,Thackeray,2019,"['Biography', 'Drama']",5.1,2301.0,Balasaheb Thackrey works as a cartoonist for a newspaper. But his editor isn't happy with it as he creates cartoons of politician which affects the sales of his paper.He is asked to try something else but he quits his job and now his only aim is to fight for the rights of Marathi people. He sees that Marathi people don't have any respect and are made to do all odd works. With a few people  he starts to help the needy and gains respect. To fight for the rights he also goes against the law and comes in the eye of politics. After entering politics he starts his own party named after Shivaji Maharaj as Shiv Sena. After giving Marathi Manoos his equal rights his only wish is that one day the Chief Minister of Maharashtra should be a Marathi Manoos.,"['NawazuddinSiddiqui', 'AmritaRao', 'AbdulQuadirAmin', 'SanjayNarvekar', 'PrakashBelawadi', 'VineetSharma', 'RadhaSagar', 'SonamoniJayantGadekar', 'SatishAlekar', 'MickyMakhija', 'NikhilMahajan', 'ReshLamba', 'JaywantWadkar', 'LaxmanSinghRajput', '']"
tt8396186,Amavas,2019,"['Horror', 'Thriller']",2.8,235.0,Far away from the bustle of the city  a young couple is looking forward to their stay in a once-abandoned palatial mansion. But their lives are about to turn into a nightmare  as dark forces lie in wait beneath the shadows of the haunted bungalow.,"['AliAsgar', 'VivanBhatena', 'NargisFakhri', 'SachiinJoshi', 'ShabnamKarimzada', 'KevinMatadeen', '']"
tt2395469,Gully Boy,2019,"['Drama', 'Music']",8.2,22440.0,"Gully Boy is a film about a 22-year-old boy ""Murad"" from a ghetto in Mumbai  India. The son of a driver  his parents worked hard to get him educated so that he could have a white collar job. Meanwhile  Murad realizes his calling to be a rapper. Authentic Hip Hop in India is a recent phenomenon and like anywhere else in the world  is rising from the streets. Art is a distant dream for the colonized poor of India and this story is about Murad's journey from realizing his love for rap and chasing his dream to inadvertently transcending his class. The film showcases street rap from the crevices of Mumbai's by lanes. The poetry is conscious of the city's socio-economic fabric and highlights the challenges faced by the disenfranchised youth in the minority population.","['RanveerSingh', 'AliaBhatt', 'SiddhantChaturvedi', 'VijayRaaz', 'AmrutaSubhash', 'VijayVarma', 'KalkiKoechlin', 'IkhlaqueKhan', 'SheebaChaddha', 'JyotiSubhash', 'RahulPiske', 'NakulSachdeva', 'ShrutiChauhan', 'AishwaryaDesai', '']"
tt9319812,Hum chaar,2019,['Drama'],5.6,183.0,The story of the film revolves around four college friends went their own direction in life  but remained inseparable from each other.,"['PritKamani', 'SimranSharma', 'AnshumanMalhotra', 'TusharPandey', 'VibhaAnand', 'JatinGoswami', 'JagatRawat', 'SonalJha', 'ShaileshDatar', 'JayshankarTripathi', 'AlokPandey', 'SushantMohindru', 'ShahnawazPradhan', 'AmitKumarJha', '']"
tt7639372,Total Dhamaal,2019,"['Action', 'Adventure', 'Comedy']",4.3,4817.0,Total Dhamaal is the third instalment in the Dhamaal franchise. A hidden booty of 50 crore leads to a mad chase amongst a bunch of greedy and eccentric characters. In them  are a bickering couple on the verge of a divorce  greedy siblings  local goons  a police commissioner and the mastermind of the loot. Will they finally discover the hidden treasure?,"['AjayDevgn', 'MadhuriDixit', 'AnilKapoor', 'RiteishDeshmukh', 'ArshadWarsi', 'JavedJaffrey', 'EshaGupta', 'BomanIrani', 'SanjayMishra', 'VijayPatkar', 'Pitobash', 'MaheshManjrekar', 'Ali', '']"
tt8108200,Sonchiriya,2019,"['Action', 'Crime', 'Drama']",7.5,2322.0,This is the story of a group of rebels in Chambal. The year is 1975. The Prime Minister  Indira Gandhi  has declared Emergency in the country. Man Singh (Manoj Bajpayee) meanwhile leads a gang in Chambal  a region that more or less is lawless. Vakil Singh (Ranvir Shorey) and Lakhna (Sushant Singh Rajput) are important members of this gang. Man Singh is in need of money to procure new arms. Based on a tip from Lacchu (Jaspal Sharma)  he and his men descend to Brahmpuri village. A marriage is taking place in this hamlet where the groom is about to get a huge amount of gold and cash. Man Singh and his gang reaches the marriage venue in order to loot this wealth. However  the cops  led by Virender Gujjar (Ashutosh Rana) ambush the gang. In the tough fight  Man Singh and half of the gang get killed. Vakil  Lakhna and others escape. Vakil  now the leader of the gang  accuses Lakhna of betraying them and calling the cops. Lakhna is fed up of being a rebel and wants to surrender. Meanwhile  ...,"['SushantSinghRajput', 'BhumiPednekar', 'ManojBajpayee', 'RanvirShorey', 'AshutoshRana', 'GagandevRiar', '']"
tt8130968,Badla,2019,"['Crime', 'Drama', 'Mystery']",7.9,15499.0,Naina Sethi a successful entrepreneur finds herself locked in a hotel room.When she gains conscious she finds herself lying to corpse of her lover Arjun she is arrested for the murder.But left on bail her lawyer Jimmy hires a defense lawyer Badal Gupta who hasn't lost a case since last 40 years.Badal and Naina discuss about the events that happened during that day.But Badal feels that there are lot many loopholes in Naina's story.,"['AmitabhBachchan', 'TaapseePannu', 'AmritaSingh', 'AntonioAakeel', 'TonyLuke', 'TanveerGhani', 'TariqsafdarHussain', 'MarkMansfield', '']"
tt8055888,Mard Ko Dard Nahin Hota,2018,"['Action', 'Comedy']",7.4,3969.0,It is a story of a young boy Surya who has a rare condition of Congenital Insensitivity to pain meaning he can not feel pain  and he sets out to learn martial arts and hunt down muggers.,"['AbhimanyuDasani', 'RadhikaMadan', 'PrateekParmar', 'SatyajitGanu', '']"
tt7527082,Hamid,2018,['Drama'],7.7,560.0,Hamid's (8) father has gone missing. His mother Ishrat has turned indifferent towards Hamid and the entire world after the incident. Neglected and lonely  with a heart searching for answers  Hamid star gazes in the hope of meeting his father. The number 786 always bewildered Hamid. One day a teacher tells Hamid that this is God's number. Using his father's old mobile phone  after trying different combinations  he finally manages to connect to a person  who he is convinced is God. On the other side is Abhay  a hard-knuckled CRPF Jawaan. Hamid's phone call  though surprising at first  intrigues Abhay who engages in humouring Hamid. These two  unknowingly and unintentionally  change each other's world for the better.,"['TalhaArshadReshi', 'VikasKumar', 'RasikaDugal', 'SumitKaul', 'BashirLone', 'GurveerSingh', 'AshrafNagoo', 'MirSarwar', 'QaziFaiz', 'UmarAdil', '']"
tt7778680,Photograph,2019,"['Drama', 'Romance']",6.9,2391.0,Two lives intersect in Mumbai and go along together. A struggling street photographer  pressured to marry by his grandmother  convinces a shy stranger to pose as his fiancée. The pair develops a connection that transforms them in ways that they could not expect. From Ritesh Batra (The Lunchbox).,"['NawazuddinSiddiqui', 'SanyaMalhotra', 'SachinKhedekar', 'DenzilSmith', 'BrindaTrivedi', 'LubnaSalim', 'RajeshKumarSharma', 'ShihaanBakshi', 'AkashSinha', 'SeemaPravinShende', 'RobinDas', 'BhagwanDasPatel', 'AshokPathak', 'AmarjeetSingh', '']"
tt9795264,Risknamaa,2019,['Thriller'],6.7,11.0,Sher Singh is the Sarpanch of his village. Whose same order for all  that whoever loves  will get the death punishment only. In this way Sher Singh has killed so many boys and girls  who loves each other. But one day that Sarpanch also falls in love and the girl whom Sher Singh loves  that girl is the wife of her younger brother.,"['GarimaAgarwal', 'Anupama', 'ParveenBansala', 'MahaveerSinghFauji', 'JavedHaider', 'ShahbaazKhan', 'SachinKhari', 'PramodMoutho', 'AarunNagar', 'KhyatiSharma', 'RaviSharma', 'ShashikantSharma', '']"
tt8207768,Mere Pyare Prime Minister,2018,['Drama'],6.8,344.0,A story about four children living in a Mumbai slum in India. An eight-year old Kanhu writes a letter to the Prime Minister after a dramatic incident with his mother. A small boy has to achieve the impossible.,"['RasikaAgashe', 'SoniaAlbizuri', 'SynaAnand', 'AdarshBharti', 'MakrandDeshpande', 'OmKanojiya', 'AtulKulkarni', 'AnjaliPatil', 'Prasad', 'NachiketPurnapatre', 'NiteeshWadhwa', '']"
tt9496212,22 Yards,2019,['Sport'],5.3,124.0,A dramatic portrayal of a victorious tale of a fallen cricket agent and a young cricketer.,"['BarunSobti', 'RajitKapur', 'PanchhiBora', 'KartikeyTripathi', '']"
tt6264938,Kesari,2019,"['Action', 'Drama', 'History']",7.4,10653.0,This period war-drama showcases the 1897 Battle of Saragarhi. The plot focuses on Havildar Ishar Singh who led a platoon of 21 Sikhs against an invading army of 10 000 Afghans to defend the North-West Frontier Province. The event is considered as one of the greatest last-stands in history.,"['AkshayKumar', 'ParineetiChopra', 'SuvinderVicky', 'VanshBhardwaj', 'SumeetBasran', 'AjitSingh', 'SandeepNahar', 'HarwinderSinghAujla', 'RakeshSharma', 'AdhritSharma', 'VivekSaini', 'HarbhagwanSingh', 'RajdeepSinghDhaliwal', 'GurpreetToti', '']"
